center_stream_index	center_reference	window_size	movement_sequence	continuity_sequence	reason_sequence
520	10:16	5	"[""strong"", ""strong"", ""candidate"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
521	10:16	5	"[""strong"", ""candidate"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
522	10:16	5	"[""candidate"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
523	10:16	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
524	10:17	5	"[""strong"", ""strong"", ""strong"", ""candidate"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""]]"
525	10:17	5	"[""strong"", ""strong"", ""candidate"", ""candidate"", ""candidate""]"	"[""shift"", ""shift"", ""same"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""]]"
526	10:18	5	"[""strong"", ""candidate"", ""candidate"", ""candidate"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
527	10:18	5	"[""candidate"", ""candidate"", ""candidate"", ""strong"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
528	10:19	5	"[""candidate"", ""candidate"", ""strong"", ""strong"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
529	10:19	5	"[""candidate"", ""strong"", ""strong"", ""none"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""number_change"", ""subject_shift""]]"
531	10:20	5	"[""strong"", ""none"", ""candidate"", ""candidate"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""number_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
532	10:20	5	"[""none"", ""candidate"", ""candidate"", ""strong"", ""strong""]"	"[""same"", ""shift"", ""same"", ""shift"", ""shift""]"	"[[], [""number_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
533	10:20	5	"[""candidate"", ""candidate"", ""strong"", ""strong"", ""none""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""number_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], []]"
534	10:21	5	"[""candidate"", ""strong"", ""strong"", ""none"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [], [""person_change"", ""subject_shift""]]"
536	10:22	5	"[""strong"", ""none"", ""candidate"", ""none"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [], [""person_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
538	10:23	5	"[""candidate"", ""none"", ""strong"", ""none"", ""none""]"	"[""shift"", ""same"", ""shift"", ""same"", ""same""]"	"[[""person_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""], [], []]"
543	10:25	5	"[""none"", ""none"", ""strong"", ""strong"", ""strong""]"	"[""same"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[], [], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
544	10:27	5	"[""none"", ""strong"", ""strong"", ""strong"", ""none""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
545	10:27	5	"[""strong"", ""strong"", ""strong"", ""none"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
547	10:28	5	"[""strong"", ""none"", ""strong"", ""candidate"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
548	10:28	5	"[""none"", ""strong"", ""candidate"", ""strong"", ""strong""]"	"[""same"", ""shift"", ""same"", ""shift"", ""shift""]"	"[[], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
549	10:28	5	"[""strong"", ""candidate"", ""strong"", ""strong"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""]]"
550	10:29	5	"[""candidate"", ""strong"", ""strong"", ""candidate"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
551	10:29	5	"[""strong"", ""strong"", ""candidate"", ""strong"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
552	10:30	5	"[""strong"", ""candidate"", ""strong"", ""candidate"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
553	10:30	5	"[""candidate"", ""strong"", ""candidate"", ""none"", ""strong""]"	"[""shift"", ""shift"", ""same"", ""same"", ""shift""]"	"[[""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
555	10:31	5	"[""candidate"", ""none"", ""strong"", ""none"", ""none""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [], [""number_change"", ""person_change"", ""subject_shift""], [], []]"
560	10:33	5	"[""none"", ""none"", ""strong"", ""strong"", ""strong""]"	"[""same"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[], [], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
561	10:33	5	"[""none"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
562	11:1	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
563	11:2	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
564	11:2	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
565	11:2	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
566	11:2	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
567	11:3	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
568	11:3	5	"[""strong"", ""strong"", ""strong"", ""candidate"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
569	11:4	5	"[""strong"", ""strong"", ""candidate"", ""none"", ""none""]"	"[""shift"", ""shift"", ""same"", ""same"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], []]"
572	11:6	5	"[""none"", ""none"", ""candidate"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
573	11:6	5	"[""none"", ""candidate"", ""candidate"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
574	11:6	5	"[""candidate"", ""candidate"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
575	11:7	5	"[""candidate"", ""candidate"", ""candidate"", ""none"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], []]"
580	11:13	5	"[""none"", ""none"", ""strong"", ""strong"", ""none""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[], [], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], []]"
581	11:13	5	"[""none"", ""strong"", ""strong"", ""none"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [], [""independence_transition"", ""subordination_transition""]]"
583	11:14	5	"[""strong"", ""none"", ""candidate"", ""candidate"", ""candidate""]"	"[""shift"", ""same"", ""same"", ""same"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
584	11:14	5	"[""none"", ""candidate"", ""candidate"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
585	11:15	5	"[""candidate"", ""candidate"", ""candidate"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
586	11:15	5	"[""candidate"", ""candidate"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
587	11:15	5	"[""candidate"", ""candidate"", ""candidate"", ""none"", ""strong""]"	"[""same"", ""same"", ""same"", ""same"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
589	11:16	5	"[""candidate"", ""none"", ""strong"", ""candidate"", ""strong""]"	"[""same"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
590	11:17	5	"[""none"", ""strong"", ""candidate"", ""strong"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
591	11:17	5	"[""strong"", ""candidate"", ""strong"", ""strong"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
592	11:18	5	"[""candidate"", ""strong"", ""strong"", ""none"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""number_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""person_change"", ""subject_shift""]]"
594	11:19	5	"[""strong"", ""none"", ""candidate"", ""strong"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]]"
595	11:19	5	"[""none"", ""candidate"", ""strong"", ""strong"", ""none""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[], [""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], []]"
596	11:20	5	"[""candidate"", ""strong"", ""strong"", ""none"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [], []]"
600	11:22	5	"[""none"", ""none"", ""strong"", ""none"", ""none""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[], [], [""number_change"", ""person_change"", ""subject_shift""], [], []]"
603	11:22	5	"[""none"", ""none"", ""strong"", ""none"", ""none""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[], [], [""number_change"", ""person_change"", ""subject_shift""], [], []]"
608	11:23	5	"[""none"", ""none"", ""strong"", ""candidate"", ""none""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[], [], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
609	11:23	5	"[""none"", ""strong"", ""candidate"", ""none"", ""none""]"	"[""same"", ""shift"", ""same"", ""same"", ""same""]"	"[[], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], []]"
613	11:24	5	"[""none"", ""none"", ""strong"", ""strong"", ""strong""]"	"[""same"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[], [], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
614	11:25	5	"[""none"", ""strong"", ""strong"", ""strong"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""]]"
615	11:25	5	"[""strong"", ""strong"", ""strong"", ""candidate"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], []]"
616	11:25	5	"[""strong"", ""strong"", ""candidate"", ""none"", ""candidate""]"	"[""shift"", ""shift"", ""same"", ""same"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""]]"
618	11:26	5	"[""candidate"", ""none"", ""candidate"", ""none"", ""strong""]"	"[""same"", ""same"", ""same"", ""same"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
620	11:26	5	"[""candidate"", ""none"", ""strong"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
621	11:27	5	"[""none"", ""strong"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""shift"", ""same"", ""same"", ""same""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
622	11:27	5	"[""strong"", ""candidate"", ""candidate"", ""none"", ""none""]"	"[""shift"", ""same"", ""same"", ""same"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], []]"
629	11:30	5	"[""none"", ""none"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[], [], [""number_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
630	11:31	5	"[""none"", ""candidate"", ""strong"", ""candidate"", ""none""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[], [""number_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
631	11:31	5	"[""candidate"", ""strong"", ""candidate"", ""none"", ""candidate""]"	"[""shift"", ""shift"", ""same"", ""same"", ""same""]"	"[[""number_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""]]"
633	11:32	5	"[""candidate"", ""none"", ""candidate"", ""candidate"", ""strong""]"	"[""same"", ""same"", ""same"", ""shift"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
634	11:33	5	"[""none"", ""candidate"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""]]"
635	11:34	5	"[""candidate"", ""candidate"", ""strong"", ""candidate"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
636	11:34	5	"[""candidate"", ""strong"", ""candidate"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""same"", ""shift"", ""shift""]"	"[[""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
637	11:34	5	"[""strong"", ""candidate"", ""strong"", ""strong"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""]]"
638	11:34	5	"[""candidate"", ""strong"", ""strong"", ""candidate"", ""none""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], []]"
639	11:34	5	"[""strong"", ""strong"", ""candidate"", ""none"", ""strong""]"	"[""shift"", ""shift"", ""same"", ""same"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
641	12:2	5	"[""candidate"", ""none"", ""strong"", ""candidate"", ""none""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], []]"
642	12:2	5	"[""none"", ""strong"", ""candidate"", ""none"", ""strong""]"	"[""same"", ""shift"", ""same"", ""same"", ""shift""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
